Combined_Key,ids,ids_modified,01-02-2020,02-02-2020,03-02-2020,01-03-2020,01-04-2020,01-05-2020,01-06-2020,02-03-2020,02-04-2020,02-05-2020,02-06-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,05-02-2020,05-03-2020,05-04-2020,05-05-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,13-02-2020,13-03-2020,13-04-2020,13-05-2020,14-02-2020,14-03-2020,14-04-2020,14-05-2020,15-02-2020,15-03-2020,15-04-2020,15-05-2020,16-02-2020,16-03-2020,16-04-2020,16-05-2020,17-02-2020,17-03-2020,17-04-2020,17-05-2020,18-02-2020,18-03-2020,18-04-2020,18-05-2020,19-02-2020,19-03-2020,19-04-2020,19-05-2020,20-02-2020,20-03-2020,20-04-2020,20-05-2020,21-02-2020,21-03-2020,21-04-2020,21-05-2020,22-02-2020,22-03-2020,22-04-2020,22-05-2020,23-02-2020,23-03-2020,23-04-2020,23-05-2020,24-02-2020,24-03-2020,24-04-2020,24-05-2020,25-01-2020,25-02-2020,25-03-2020,25-04-2020,25-05-2020,26-01-2020,26-02-2020,26-03-2020,26-04-2020,26-05-2020,27-01-2020,27-02-2020,27-03-2020,27-04-2020,27-05-2020,28-01-2020,28-02-2020,28-03-2020,28-04-2020,28-05-2020,29-01-2020,29-02-2020,29-03-2020,29-04-2020,29-05-2020,30-01-2020,30-03-2020,30-04-2020,30-05-2020,31-01-2020,31-03-2020,31-05-2020
"NL, Eastern, CA",1011,1011,0,0,0,0,23,1,0,0,8,0,0,0,12,0,0,0,0,7,0,0,0,14,0,0,0,9,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,14,0,0,0,11,0,0,0,0,31,1,0,0,0,15,1,0,0,0,19,0,0,0,0,16,0,1,0,0,15,0,0,0,13,0,0,0,4,0
"NL, Central, CA",1012,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NL, Western, CA",1013,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NL, Labrador-Grenfell, CA",1014,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEI, Prince Edward Island, CA",1100,1100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,3,0
"Nova Scotia, Zone 1 - Western, CA",1201,1201,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nova Scotia, Zone 2 - Northern, CA",1202,1202,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,3,2,0,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Nova Scotia, Zone 3 - Eastern, CA",1203,1203,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nova Scotia, Zone 4 - Central, CA",1204,1204,0,0,0,0,0,12,1,0,12,3,0,0,12,7,0,0,0,24,14,0,0,21,6,0,0,22,5,0,0,11,9,0,0,27,1,0,0,27,3,0,0,30,6,0,0,20,0,0,0,16,1,0,0,26,4,0,0,43,2,0,2,29,8,0,2,27,3,0,0,25,3,0,0,41,3,0,0,26,1,0,0,40,1,0,0,15,1,0,0,34,1,0,0,53,1,0,0,22,1,0,0,0,14,1,0,0,0,8,2,0,0,0,26,1,0,0,0,15,1,0,0,0,20,0,0,0,12,1,0,0,0
"New Brunswick, Zone 1 (Moncton area), CA",1301,1301,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"New Brunswick, Zone 2 (Saint John area), CA",1302,1302,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,2,0,0,0,1,0,0,0,0,0
"New Brunswick, Zone 3 (Fredericton area), CA",1303,1303,0,0,0,0,4,0,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0
"New Brunswick, Zone 4 (Edmundston area), CA",1304,1304,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"New Brunswick, Zone 5 (Campbellton area), CA",1305,1305,0,0,0,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3,0,0,6,0,2,0,0,0,1,0,0,3
"New Brunswick, Zone 6 (Bathurst area), CA",1306,1306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"New Brunswick, Zone 7 (Miramichi area), CA",1307,1307,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quebec, Bas-Saint-Laurent, CA",2401,2401,0,0,0,0,5,0,0,0,1,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,2,0
"Quebec, Saguenay, CA",2402,2402,0,0,0,0,1,2,1,0,0,6,0,0,12,3,0,0,0,11,7,0,0,24,1,0,0,14,1,0,0,10,0,0,0,15,1,0,0,5,1,0,0,12,2,0,0,7,1,0,0,7,1,0,0,12,2,0,0,9,2,0,0,5,1,0,0,27,0,0,0,2,1,0,0,10,4,0,0,12,2,0,0,13,0,0,1,5,0,0,0,5,0,0,0,8,1,0,4,4,0,0,0,3,5,2,0,0,3,0,0,0,0,5,6,0,0,0,2,0,0,0,0,0,0,0,0,6,7,0,0,7,0
"Quebec, Capitale-Nationale, CA",2403,2403,0,0,0,0,34,32,13,0,23,23,14,0,10,27,15,0,0,29,21,0,0,36,23,0,0,12,25,0,0,18,22,0,0,17,19,0,0,20,46,0,0,15,22,0,0,13,25,0,0,4,17,0,0,36,18,0,0,31,15,0,2,17,18,0,0,23,18,0,1,18,20,0,5,17,27,0,2,13,13,0,0,16,18,0,3,15,14,0,0,17,22,0,20,11,34,0,46,24,25,0,0,16,38,33,0,0,8,42,29,0,0,3,13,30,0,0,42,14,30,0,0,16,18,31,0,10,28,31,0,39,25
"Quebec, Mauricie, CA",2404,2404,0,0,0,0,32,46,9,0,71,18,18,0,46,29,0,0,0,67,30,0,0,63,30,0,0,55,20,0,0,40,38,0,0,25,44,0,0,34,43,0,0,25,21,0,1,38,30,0,0,28,19,0,0,46,18,0,0,45,32,0,2,32,28,0,0,29,29,0,0,26,24,0,0,30,17,0,0,14,21,0,1,28,29,0,1,26,14,0,2,31,21,0,9,40,16,0,16,21,15,0,0,3,0,12,0,0,14,20,13,0,0,20,28,12,0,0,16,21,12,0,0,37,43,20,0,42,20,13,0,51,10
"Quebec, Estrie, CA",2405,2405,0,0,0,0,14,7,1,0,25,8,0,0,46,5,1,0,0,49,8,0,0,19,2,0,0,30,8,0,0,22,8,0,0,27,4,0,0,23,5,0,0,22,4,0,0,19,3,0,2,28,3,0,0,15,3,0,1,17,2,0,1,17,0,0,0,13,2,0,6,12,5,0,8,7,0,0,8,8,2,0,0,9,3,0,1,7,7,0,3,3,5,0,18,6,0,0,82,0,0,0,0,39,10,0,0,0,18,9,5,0,0,40,4,1,0,0,26,0,0,0,0,43,1,1,0,33,12,0,0,36,1
"Quebec, Montréal, CA",2406,2406,0,0,0,0,106,655,109,0,545,620,106,0,195,1652,136,0,0,424,355,0,0,452,385,0,0,264,451,0,0,430,476,0,0,368,517,0,1,487,421,0,0,355,342,0,2,244,295,0,3,227,385,0,0,305,354,0,2,235,401,0,4,202,405,0,8,451,370,0,7,479,307,0,3,292,311,0,7,405,290,0,13,507,319,0,14,384,428,0,7,508,348,0,258,519,284,0,109,522,223,0,0,164,267,200,0,0,179,459,273,0,1,189,413,222,0,0,248,453,225,0,0,142,324,203,0,251,513,184,0,379,210
"Quebec, Outaouais, CA",2407,2407,0,0,0,0,14,14,1,0,11,5,2,0,6,9,8,0,0,4,2,0,0,24,8,0,0,8,6,0,0,12,4,0,0,1,4,0,0,1,8,0,0,10,3,0,0,16,9,0,0,12,8,0,0,3,6,0,0,8,6,0,0,1,1,0,0,10,14,0,0,1,14,0,1,10,9,0,0,7,22,0,0,5,6,0,2,5,18,0,2,0,22,0,3,10,7,0,4,7,4,0,0,1,10,11,0,0,3,6,11,0,0,2,14,13,0,0,8,4,9,0,0,2,3,5,0,10,1,4,0,12,0
"Quebec, Abitibi-Témiscamingue, CA",2408,2408,0,0,0,0,7,0,0,0,6,0,0,0,11,0,1,0,0,18,0,0,0,7,0,0,0,18,1,0,0,7,2,0,0,3,1,0,0,8,0,0,0,11,3,0,0,4,0,0,0,3,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,2,0,0,3,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,1,2,0,2,0,1,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,6,0,0,0,0,3,0,1,0,1,0,1,0,6,0
"Quebec, Côte-Nord, CA",2409,2409,0,0,0,0,5,0,0,0,7,0,0,0,5,0,0,0,0,2,0,0,0,9,0,0,0,10,0,0,0,3,0,0,0,4,0,0,0,6,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,2,0,0,0,3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,7,0,0,0,0,4,0,1,0,9,7,0,0,4,0
"Quebec, Nord-du-Québec, CA",2410,2410,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quebec, Gaspésie-Îles-de-la-Madeleine, CA",2411,2411,0,0,0,0,0,1,0,0,1,0,0,0,3,1,0,0,0,2,0,0,0,11,1,0,0,8,0,0,0,4,1,0,0,9,1,0,0,4,0,0,0,5,0,0,0,6,0,0,0,6,0,0,0,1,1,0,0,2,1,0,0,4,0,0,0,0,0,0,0,4,0,0,0,12,0,0,0,6,0,0,0,0,1,0,0,13,2,0,0,8,1,0,3,3,1,0,4,3,1,0,0,0,4,2,0,0,0,7,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,3,2,0,24,0
"Quebec, Chaudière-Appalaches, CA",2412,2412,0,0,0,0,13,7,2,0,3,2,1,0,3,3,0,0,0,3,7,0,0,17,4,0,0,2,1,0,0,23,5,0,0,14,4,0,0,12,5,0,0,15,2,0,0,8,5,0,1,17,1,0,0,25,4,0,0,14,3,0,2,5,5,0,1,2,5,0,0,11,12,0,2,12,8,0,0,13,11,0,0,4,0,0,7,8,2,0,0,5,0,0,2,3,1,0,26,6,1,0,0,5,12,1,0,0,12,7,2,0,0,15,4,3,0,0,7,4,2,0,0,6,5,0,0,9,0,1,0,22,3
