Combined_Key,ids,ids_modified,01-02-2020,02-02-2020,03-02-2020,01-03-2020,01-04-2020,01-05-2020,01-06-2020,02-03-2020,02-04-2020,02-05-2020,02-06-2020,03-03-2020,03-04-2020,03-05-2020,03-06-2020,04-02-2020,04-03-2020,04-04-2020,04-05-2020,05-02-2020,05-03-2020,05-04-2020,05-05-2020,06-02-2020,06-03-2020,06-04-2020,06-05-2020,07-02-2020,07-03-2020,07-04-2020,07-05-2020,08-02-2020,08-03-2020,08-04-2020,08-05-2020,09-02-2020,09-03-2020,09-04-2020,09-05-2020,10-02-2020,10-03-2020,10-04-2020,10-05-2020,11-02-2020,11-03-2020,11-04-2020,11-05-2020,12-02-2020,12-03-2020,12-04-2020,12-05-2020,13-02-2020,13-03-2020,13-04-2020,13-05-2020,14-02-2020,14-03-2020,14-04-2020,14-05-2020,15-02-2020,15-03-2020,15-04-2020,15-05-2020,16-02-2020,16-03-2020,16-04-2020,16-05-2020,17-02-2020,17-03-2020,17-04-2020,17-05-2020,18-02-2020,18-03-2020,18-04-2020,18-05-2020,19-02-2020,19-03-2020,19-04-2020,19-05-2020,20-02-2020,20-03-2020,20-04-2020,20-05-2020,21-02-2020,21-03-2020,21-04-2020,21-05-2020,22-02-2020,22-03-2020,22-04-2020,22-05-2020,23-02-2020,23-03-2020,23-04-2020,23-05-2020,24-02-2020,24-03-2020,24-04-2020,24-05-2020,25-01-2020,25-02-2020,25-03-2020,25-04-2020,25-05-2020,26-01-2020,26-02-2020,26-03-2020,26-04-2020,26-05-2020,27-01-2020,27-02-2020,27-03-2020,27-04-2020,27-05-2020,28-01-2020,28-02-2020,28-03-2020,28-04-2020,28-05-2020,29-01-2020,29-02-2020,29-03-2020,29-04-2020,29-05-2020,30-01-2020,30-03-2020,30-04-2020,30-05-2020,31-01-2020,31-03-2020,31-05-2020
"Ontario, Timiskaming, CA",3563,3563,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
"Ontario, Waterloo, CA",3565,3565,0,0,0,0,14,22,8,0,12,9,17,0,19,19,8,0,0,10,16,0,1,14,43,0,0,13,11,0,0,22,16,0,0,13,10,0,0,17,15,0,0,5,20,0,0,19,8,0,2,13,14,0,1,53,9,0,2,26,10,0,2,26,10,0,0,4,14,0,0,16,14,0,2,75,22,0,1,13,4,0,4,16,12,0,0,25,7,0,1,22,10,0,16,32,8,0,10,22,4,0,0,0,30,4,0,0,17,43,7,0,0,10,6,6,0,0,0,26,3,0,0,0,22,1,0,34,20,6,0,0,0
"Ontario, Wellington Dufferin Guelph, CA",3566,3566,0,0,0,0,35,7,3,0,3,18,8,0,16,5,1,0,0,0,4,0,0,0,4,0,0,33,5,0,0,13,3,0,0,9,1,0,0,5,2,0,0,5,2,0,0,1,3,0,0,0,1,0,0,22,2,0,0,3,2,0,0,4,2,0,1,7,6,0,0,19,4,0,0,4,3,0,0,0,1,0,0,0,5,0,0,7,1,0,0,2,6,0,1,18,1,0,1,11,3,0,0,1,9,2,0,0,0,9,0,0,0,0,9,3,0,0,0,13,4,0,0,0,1,8,0,0,3,0,0,9,0
"Ontario, Windsor-Essex, CA",3568,3568,0,0,0,0,48,10,2,0,36,8,7,0,13,11,5,0,0,19,18,0,0,24,15,0,0,20,9,0,0,23,9,0,0,17,11,0,0,18,9,0,0,28,11,0,0,9,21,0,0,12,6,0,0,3,13,0,0,35,6,0,0,59,11,0,0,19,5,0,0,12,6,0,0,13,10,0,0,10,11,0,0,20,11,0,1,24,21,0,1,12,17,0,0,7,23,0,1,16,10,0,0,2,9,36,0,0,1,7,4,0,0,3,12,4,0,0,6,12,7,0,0,10,5,23,0,19,8,6,0,0,12
"Ontario, York, CA",3570,3570,0,0,0,3,184,46,30,0,39,44,51,2,43,27,52,0,0,24,17,0,0,13,33,0,1,20,43,0,0,59,35,0,0,35,30,0,0,46,33,0,0,52,23,0,1,23,52,0,0,18,4,0,1,68,30,0,0,59,11,0,4,59,23,0,5,22,21,0,1,63,44,0,2,66,18,0,11,49,24,0,1,66,35,0,6,51,27,0,9,50,49,0,17,28,39,0,22,64,30,0,0,20,45,21,0,0,34,18,27,0,0,0,25,35,0,0,0,28,21,0,1,0,29,20,0,0,35,28,0,0,22
"Ontario, Toronto, CA",3595,3595,0,0,0,1,165,245,164,0,79,171,175,3,89,0,139,0,0,40,311,0,1,206,170,0,3,69,217,0,0,148,249,0,3,121,200,0,2,199,137,0,1,122,162,0,2,174,144,0,8,160,218,0,12,137,169,0,9,181,153,0,14,127,160,0,11,211,129,0,0,264,125,0,3,201,92,0,16,200,263,0,17,136,263,0,33,138,228,0,26,249,258,1,15,278,220,0,19,139,200,1,0,25,142,177,0,1,33,170,161,1,1,55,175,152,0,2,71,155,201,0,0,80,232,175,0,71,191,123,0,112,150
"Manitoba, Winnipeg, CA",4601,4601,0,0,0,0,20,1,0,0,27,0,0,0,13,0,0,0,0,8,0,0,0,5,0,0,0,1,0,0,0,11,0,0,0,1,0,0,0,2,0,0,0,4,1,0,0,9,0,0,1,0,0,0,3,1,0,0,0,0,0,0,2,1,0,0,1,3,0,0,5,0,0,0,2,2,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,2,0,1,5,0,0,1,0,0,0,0,11,2,0,0,0,1,3,0,0,0,1,1,0,0,0,25,0,2,0,0,4,0,0,0,18,2,0,0,6,0
"Manitoba, Prairie Mountain, CA",4602,4602,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0
"Manitoba, Interlake-Eastern, CA",4603,4603,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Manitoba, Northern, CA",4604,4604,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Manitoba, Southern Health, CA",4605,4605,0,0,0,0,2,0,0,0,7,0,2,0,1,0,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"Saskatchewan, Regina, CA",4704,4704,0,0,0,0,4,0,1,0,1,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,3,0,1,0,0,2,0,0,1,1,0,0,1,1,0,0,3,1,0,0,1,0,0,0,4,0,0,0,5,1,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,1,0,0,4,1,0,0,0,2,0,0,0,2,0,1,0,3,1
"Saskatchewan, Saskatoon, CA",4706,4706,0,0,0,0,4,3,0,0,9,1,0,0,8,4,0,0,0,1,1,0,0,11,0,0,0,4,1,0,0,4,0,0,0,4,0,0,0,3,0,0,0,4,0,0,0,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,1,0,0,1,1,0,0,0,0,0,0,12,1,0,0,3,0,0,0,9,0,2,0,4,0,0,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,12,0,1,0,0,13,1,1,0,12,2,0,0,5,0
"Saskatchewan, Far North, CA",4713,4713,0,0,0,0,0,19,0,0,0,0,0,0,0,4,1,0,0,0,29,0,0,0,18,0,0,0,24,0,0,1,15,0,0,0,12,0,0,1,5,0,0,1,9,0,0,1,4,0,0,0,5,0,0,0,4,0,1,0,4,0,0,0,8,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,7,0,0,0,17,0,0,2,2,0,1,5,4,0,0,4,1,0,0,6,2,0,0,0,7,1,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,11,0,0,0,1,3,0,0,0
"Alberta, South, CA",4831,4831,0,0,0,0,0,87,4,0,2,21,0,0,2,21,2,0,0,2,10,0,0,2,9,0,0,2,16,0,0,0,8,0,0,4,9,0,0,0,7,0,0,0,10,0,0,4,9,0,0,1,3,0,0,2,8,0,0,3,4,0,0,11,9,0,1,11,14,0,0,10,9,0,1,13,4,0,1,61,2,0,2,14,0,0,1,44,4,0,1,103,7,0,1,72,5,0,0,72,4,0,0,2,66,1,0,0,2,88,1,0,0,0,45,1,0,0,0,42,0,0,0,0,151,0,0,0,113,0,0,0,0
"Alberta, Calgary, CA",4832,4832,0,0,0,0,76,117,22,0,61,68,5,0,84,68,8,0,0,62,63,0,1,38,48,0,0,43,47,0,0,17,41,0,1,25,65,0,6,18,52,0,0,39,85,0,3,59,38,0,4,70,42,0,5,68,50,0,6,128,41,0,14,94,46,0,12,133,57,0,18,208,47,0,13,148,35,0,18,180,31,0,25,75,15,0,13,127,27,0,25,192,23,0,25,239,11,0,27,200,37,0,0,35,131,17,0,0,49,142,21,0,0,37,151,19,0,0,42,109,26,0,0,30,158,18,0,14,69,8,0,31,13
"Alberta, Central, CA",4833,4833,0,0,0,0,6,2,0,0,2,1,0,0,3,0,0,0,0,3,1,0,0,1,0,0,0,0,2,0,0,0,3,0,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,3,2,0,0,7,1,0,0,11,2,0,0,0,7,1,0,0,0,2,0,0,0,0,6,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"Alberta, Edmonton, CA",4834,4834,0,0,0,0,32,8,8,0,28,3,6,0,16,1,3,0,0,28,0,0,0,19,0,0,1,41,1,0,0,7,2,0,1,10,3,0,4,8,0,0,0,10,0,0,1,2,0,0,0,7,0,0,1,4,4,0,4,3,4,0,3,9,1,0,3,9,1,0,2,10,0,0,7,2,0,0,2,0,0,0,14,9,3,0,14,11,2,0,3,7,0,0,8,3,0,0,18,12,0,0,0,14,9,1,0,0,11,4,0,0,0,9,5,3,0,0,21,2,1,0,0,8,3,3,0,15,1,5,0,23,2
"Alberta, North, CA",4835,4835,0,0,0,0,1,4,0,0,4,3,0,0,2,3,6,0,0,11,0,0,0,9,0,0,0,12,4,0,0,1,0,0,0,5,1,0,0,2,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,2,0,0,0,2,1,0,0,9,0,0,1,9,0,0,2,10,1,0,1,2,0,0,6,0,0,0,7,6,1,0,0,5,0,0,1,2,2,0,1,4,2,0,1,11,1,0,0,3,8,0,0,0,3,9,0,0,0,4,14,2,0,0,13,6,2,0,0,2,3,3,0,0,6,1,0,5,3
"Yukon, Yukon, CA",6001,6001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"NWT, NWT, CA",6101,6101,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saskatchewan, South, CA","4701,4703,4702",4701,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"Saskatchewan, Central, CA","4705,4707,4708,4709,4710",4705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Saskatchewan, North, CA","4712,4711",4711,0,0,0,0,0,4,0,0,1,5,0,0,4,4,0,0,0,1,4,0,0,4,2,0,0,0,0,0,0,1,4,0,0,3,1,0,0,1,3,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,4,0,1,0,0,0,0,1,0,0,4,1,0,0,0,2,0,0,0,0,1,1,0,0,5,3,0,0,0,0,1,0,0,0,13,0,1,0,0,7,5,0,0,4,3,0,0,0,0
"BC, Interior, CA","5911,5912,5913,5914",5911,0,0,0,0,7,4,0,0,7,0,0,0,5,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,5,1,0,0,5,0,0,0,3,0,0,5,1,0,0,2,0,0,0,3,0,0,0,7,3,1,0,8,0,1,0,0,0,11,0,3,3,0,0,11,2,0,0,0,5,2,0,0,0,16,0,0,0,0,8,4,0,0,0,7,4,1,0,0,0,1,0,0,17,1,0,0,13,0
"BC, Fraser, CA","5921,5922,5923",5921,0,0,0,0,19,17,22,0,19,22,4,1,26,0,21,0,0,12,27,0,2,0,4,0,0,26,15,0,4,8,18,0,0,29,25,0,3,21,9,0,2,31,0,0,4,19,20,0,2,0,6,0,0,33,13,0,1,10,12,0,0,22,15,0,8,7,20,0,18,31,0,0,11,19,11,0,23,0,1,1,14,25,18,0,31,10,9,0,0,32,13,0,24,13,8,1,44,12,0,0,0,24,81,9,0,0,23,0,8,0,0,21,26,6,0,0,29,39,7,0,0,0,23,3,0,32,20,8,0,25,0
"BC, Vancouver Coastal, CA","5931,5932,5933",5931,0,0,0,0,21,8,2,0,28,0,0,3,16,0,1,1,1,13,22,0,6,0,4,2,0,32,3,0,2,17,13,0,0,12,1,0,2,11,5,0,5,3,0,0,2,13,2,0,5,0,1,0,11,8,3,0,7,8,1,0,0,12,0,0,15,0,0,0,52,10,0,0,28,6,4,0,8,0,1,0,48,14,2,0,30,7,2,0,0,38,1,0,18,10,2,0,82,12,0,0,0,9,11,4,0,0,20,0,3,0,0,32,17,1,1,0,53,8,1,0,1,0,8,1,0,28,4,2,0,4,0
"BC, Island, CA","5941,5942,5943",5941,0,0,0,0,5,1,0,0,0,2,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,3,0,0,7,2,0,0,4,0,0,0,4,3,0,0,6,0,0,0,8,5,0,0,7,7,0,0,0,1,1,0,2,1,0,0,5,3,0,0,0,3,1,0,0,0,5,0,0,0,0,5,2,0,0,0,3,2,0,0,0,0,1,0,0,7,0,0,0,0,0
"BC, Northern, CA","5951,5952,5953",5951,0,0,0,0,1,3,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,2,1,0,4,1,0,0,0,1,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,2,0,1,2,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,1,0,0,2,0,1,0,1,0
"Alberta, Not Reported, CA",,,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nova Scotia, Not Reported, CA",,,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,2,0,0,0,1,0,0,0,6,0,0,0,7,0,0,0,13,0,0,0,10,0,0,0,0,17,0,0,0,0,5,0,0,0,0,17,0,0,0,0,20,0,0,0,0,12,0,0,0,5,0,0,0,20,0
"Ontario, Southwestern, CA",,,0,0,0,0,5,0,0,0,3,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,3,1,0,1,4,5,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,3,3,1,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,2,0,0,0,0,1
"Quebec, Not Reported, CA",,,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Repatriated, Not Reported, CA",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0