Comuna,BARRIO,población,12-Jun,19-Jun,26-Jun,3-Jul,10-Jul,17-Jul,dif
Comuna 15,AGRONOMIA,"13,894",14,22,31,49,66,79,13
Comuna 05,ALMAGRO,"132,020",336,480,736,917,1240,1505,265
Comuna 03,BALVANERA,"139,147",642,891,1323,1682,2172,2699,527
Comuna 04,BARRACAS,"89,526",857,1286,1833,2320,2778,3090,312
Comuna 13,BELGRANO,"126,828",228,288,370,455,598,790,192
Comuna 05,BOEDO,"47,366",121,178,255,304,405,499,94
Comuna 06,CABALLITO,"176,606",291,398,554,678,915,1182,267
Comuna 15,CHACARITA,"27,572",111,182,274,342,473,578,105
Comuna 12,COGHLAN,"18,723",46,54,70,92,117,145,28
Comuna 13,COLEGIALES,"52,311",101,140,176,207,256,329,73
Comuna 01,CONSTITUCION,"43,968",202,298,393,512,669,791,122
Comuna 07,FLORES,"164,175",2525,3191,3675,4041,4454,4864,410
Comuna 10,FLORESTA,"37,433",108,165,221,270,362,444,82
Comuna 04,LA BOCA,"44,893",200,304,433,596,795,965,170
Comuna 09,LINIERS,"44,200",51,77,127,173,270,357,87
Comuna 09,MATADEROS,"64,253",106,172,263,380,549,687,138
Comuna 01,MONSERRAT,"40,368",155,234,322,385,511,642,131
Comuna 10,MONTE CASTRO,"33,746",44,58,86,110,158,203,45
Comuna 04,NUEVA POMPEYA,"42,233",273,418,595,904,1157,1334,177
Comuna 13,NUÑEZ,"52,499",55,73,93,122,157,213,56
Comuna 14,PALERMO,"225,836",408,543,752,946,1292,1673,381
Comuna 09,PARQUE AVELLANEDA,"53,206",145,212,374,548,719,852,133
Comuna 07,PARQUE CHACABUCO,"56,257",133,200,284,357,456,546,90
Comuna 15,PARQUE CHAS,"17,581",33,47,56,64,85,100,15
Comuna 04,PARQUE PATRICIOS,"40,961",177,272,383,502,650,773,123
Comuna 15,PATERNAL,"19,721",92,129,192,301,385,424,39
Comuna 01,PUERTO MADERO,"6,738",19,23,58,87,104,122,18
Comuna 02,RECOLETA,"158,649",310,432,559,692,895,1125,230
Comuna 01,RETIRO,"65,424",2747,2833,2927,2996,3123,3212,89
Comuna 12,SAAVEDRA,"50,129",52,74,105,121,184,242,58
Comuna 03,SAN CRISTOBAL,"48,638",188,275,371,478,625,733,108
Comuna 01,SAN NICOLAS,"29,509",70,105,150,182,269,347,78
Comuna 01,SAN TELMO,"20,227",56,78,114,137,197,260,63
Comuna 10,VELEZ SARSFIELD,"35,119",99,153,180,221,274,344,70
Comuna 10,VERSALLES,"13,880",12,20,36,40,54,68,14
Comuna 15,VILLA CRESPO,"81,807",133,209,295,366,480,609,129
Comuna 11,VILLA DEL PARQUE,"55,087",69,94,144,177,239,306,67
Comuna 11,VILLA DEVOTO,"66,552",89,158,213,271,345,415,70
Comuna 11,VILLA GRAL. MITRE,"34,931",58,89,125,178,239,313,74
Comuna 08,VILLA LUGANO,"126,511",585,992,1672,2427,3104,3522,418
Comuna 10,VILLA LURO,"32,560",41,65,112,164,213,272,59
Comuna 15,VILLA ORTUZAR,"21,542",20,25,33,51,82,113,31
Comuna 12,VILLA PUEYRREDON,"39,660",39,63,78,100,143,175,32
Comuna 10,VILLA REAL,"13,461",16,21,34,44,78,87,9
Comuna 08,VILLA RIACHUELO,"14,054",65,85,137,180,231,268,37
Comuna 11,VILLA SANTA RITA,"33,081",51,89,141,183,233,289,56
Comuna 08,VILLA SOLDATI,"46,715",336,619,973,1361,1728,1944,216
Comuna 12,VILLA URQUIZA,"92,316",100,145,229,310,402,503,101