City,lat,long
'BUENOS AIRES',-37.320480,-59.132904
'CHACO',-27.45083153,-58.985329392
'CORRIENTES',-27.471226,-58.839584
'CHUBUT',-43.2999988,-65.0999996
'RIO NEGRO',-41.0223,-62.7903
'FORMOSA CAPITAL',-26.17753,-58.17814
'PARAGUAY',-23.4380203,-58.4483065
'CLORINDA',-25.28481,-57.71851
'PUERTO PILCOMAYO',-26.2432112,-58.6316419 
'MISIONES',-26.92,-54.52
'LA RINCONADA',-14.625664164,-69.441164902
'KM9-PUERTO',18.439167,-66.001944 
'GRAL BELGRANO',-55.3999984,-61.5333312
'CORDOBA',-31.416668,-64.183334
'SALTA',-24.782932,-65.412155
'SANTA FE ',-33.7227,-62.246
'Salta',-24.782932,-65.412155
'TIERRA DEL FUEGO',-54,-70
'SANTIAGO DEL ESTERO',-27.79511,-64.26149
'NEUQUEN',-38.95161,-68.0591 
'ENTRE RIOS',-32.0477,-60.281
'SAN JUAN',-31.5375,-68.53639
'POZO  YACARE',- 24.0833,-62.3167
'INGENIERO  JUAREZ',-23.9,-61.85
'MISION POZO YACARE',-24.0833,-62.3167
'LOS CHIRIGUANOS',-24.0986,-61.4661
'LAS LOMITAS',-24.70955,-60.59303
'POZO DE YACARE',-24.782932,-65.412155
'EL CHORRO',-23.216667,-62.3
'EL POTRILLO', -34.617,-62.383
'SANTA FE',-33.7227,-62.246
'LOTE 8',-48.550,-68.217
'MARIA CRISTINA',41.386165122,2.12249951
'COLONIA DALMACIA',-25.8444081,-57.8979174
'PASTORIL',-27.62249751,-60.742330364
'EL QUEBRACHO',-29.376331828,-63.46999812
'POZO DE MAZA',-23.5725,-61.7058
'VACA PERDIDA',-23.483,-61.667
'PIRANE',-25.732778,-59.11
'POTRILLO',-23.19,-62.0436
'PALO SANTO',-25.56332,-59.33781
'LAGUNA GALLO',-35.500,-58.467
'COLORADO',-26.30808,-59.37291
'PALMA SOLA',-23.983333,-64.31
'BARTOLOME DE LAS CASAS',-25.4089,-59.5717
'IBARRETA',-25.21438,-59.85851 
'MOJON DE FIERRO',-26.050,-58.050
'PERIN',-25.550,-60.033
'EL ESPINILLO',-25.408056,-60.448056
'COMANDANTE FONTANA',-25.33453,-59.68212
'MYOR VILLAFAÑE',-26.204444, -59.080278
'GRAN GUARDIA',-25.8636,-58.8858
'VILLAFAÑE',-26.204444, -59.080278
'FORTIN LUGONES',-24.2863432007,-59.8321815497
'ESTANISLAO DEL CAMPO',-25.05504,-60.09218
'MISION LAISHI',-26.24262,-58.63039
'HERRADURA',-26.483333,-58.3
'COLONIA PASTORIL',-27.62249751,-60.742330364
'LAGUNA BLANCA',-40.7333304,-69.8499966
'VILLA ESCOLAR',-26.6221,-58.6713
'RIACHO HE HE',-25.360556,-58.280278
'RIACHO HE HE ',-25.360556,-58.280278
'MISION TACAGLE',-24.933333,-58.766667
'LUCIO.V.MANSILLA',-29.8054,-64.7082