,num_casos
30,3.0
82,4.0
134,3.0
186,5.0
238,3.0
290,6.0
342,2.0
394,9.0
446,9.0
498,8.0
550,5.0
602,6.0
654,11.0
706,6.0
758,7.0
810,8.0
862,6.0
914,7.0
966,7.0
1018,6.0
1070,4.0
1122,5.0
1174,4.0
1226,3.0
1278,2.0
1330,1.0
1382,1.0
1434,1.0
1486,4.0
1538,2.0
1590,4.0
1642,11.0
1694,10.0
1746,10.0
1798,2.0
1850,4.0
1902,5.0
1954,9.0
2006,8.0
2058,2.0
2110,13.0
2162,9.0
2214,12.0
2266,16.0
2318,11.0
2370,13.0
2422,17.0
2474,20.0
2526,14.0
2578,13.0
2630,30.0
2682,31.0
2734,32.0
2786,46.0
2853,58.0
2905,53.0
2957,73.0
3009,99.0
3061,163.0
3113,111.0
3165,332.0
3217,389.0
3269,408.0
3321,474.0
3373,673.0
3425,811.0
3477,867.0
3529,1092.0
3581,1540.0
3633,2066.0
3685,1992.0
3737,2392.0
3789,2904.0
3841,2621.0
3893,2738.0
3945,3014.0
3997,2957.0
4049,2755.0
4101,2560.0
4153,3219.0
4205,2019.0
4257,1701.0
4309,2202.0
4361,2084.0
4413,1839.0
4465,1621.0
4517,1551.0
4569,1278.0
4621,903.0
4673,1144.0
4725,1131.0
4777,1394.0
4829,1044.0
4881,963.0
4933,751.0
4985,672.0
5037,651.0
5089,768.0
5141,711.0
5193,657.0
5245,731.0
5297,598.0
5349,513.0
5401,403.0
5453,516.0
5505,507.0
5557,602.0
5609,409.0
5661,485.0
5713,269.0
5765,298.0
5817,487.0
5869,475.0
5921,371.0
5973,260.0
6025,141.0
6077,129.0
6129,220.0
6181,268.0
6233,225.0
6285,197.0
6337,209.0
6389,186.0
6441,81.0
6493,120.0
6545,73.0
6597,59.0
6649,89.0
6701,81.0
6753,74.0
6805,84.0
6857,208.0
6909,154.0
6961,157.0
7013,176.0
7065,144.0
7117,64.0
7169,96.0
7221,160.0
7273,156.0
7325,122.0
7377,129.0
7429,101.0
7481,63.0
7533,62.0
7585,166.0
7637,171.0
7689,109.0
7741,131.0
7793,127.0
7845,67.0
7897,89.0
7949,177.0
8001,130.0
8053,159.0
8105,121.0
8157,152.0
8209,91.0
8261,75.0
8313,158.0
8365,133.0
8417,126.0
8469,113.0
8521,129.0
8573,34.0
8625,51.0
8677,128.0
8729,56.0
8781,81.0
8833,71.0
8885,60.0
8937,40.0
8989,30.0
9041,41.0
9093,46.0
9145,45.0
9197,57.0
9249,54.0
9301,26.0
9353,29.0
9405,56.0
9457,65.0
9509,70.0
9561,49.0
9613,84.0
9665,34.0
9717,41.0
9769,76.0
9821,72.0
9873,105.0
9925,100.0
9977,86.0
10029,71.0
10081,77.0
10133,136.0
10185,134.0
10237,149.0
10289,123.0
10341,174.0
10393,133.0
10445,145.0
10497,224.0
10549,257.0
10601,247.0
10653,238.0
10705,371.0
10757,302.0
10809,259.0
10861,512.0
10913,597.0
10965,550.0
11017,592.0
11069,743.0
11121,698.0
11173,605.0
11225,993.0
11277,1133.0
11329,1126.0
11381,1131.0
11433,1412.0
11485,1021.0
11537,978.0
11589,1538.0
11641,1959.0
11693,1786.0
11745,1741.0
11797,2275.0
11849,1207.0
11901,941.0
11953,1533.0
12005,2705.0
12057,2933.0
12109,2671.0
12161,3904.0
12213,1523.0
12265,1103.0
12317,1825.0
12369,3728.0
12421,3100.0
12473,3220.0
12525,4424.0
12577,1745.0
12629,1591.0
12681,2166.0
12733,4288.0
12785,3925.0
12837,3864.0
12889,4645.0
12941,2652.0
12993,2301.0
13045,3067.0
13097,4548.0
13149,4881.0
13201,4340.0
13253,5256.0
13305,3103.0
13357,2399.0
13409,3530.0
13461,4770.0
13513,4471.0
13565,4456.0
13617,6743.0
13669,2364.0
13721,1918.0
13773,3114.0
13825,5337.0
13877,4793.0
13929,4372.0
13981,4989.0
14033,2078.0
14085,1718.0
14137,2858.0
14189,3846.0
14241,3040.0
14293,2870.0
14345,3066.0
14397,1816.0
14449,1474.0
14501,2532.0
14553,2658.0
14605,2514.0
14657,2381.0
14709,2480.0
14761,1674.0
14813,1408.0
14865,1700.0
14917,2352.0
14969,2206.0
15021,2160.0
15073,2382.0
15125,1535.0
15177,1326.0
15229,2280.0
15281,2358.0
15333,1988.0
15385,1810.0
15437,2303.0
15489,1153.0
15541,1089.0
15593,2136.0
15645,2203.0
15697,1935.0
15749,1910.0
15801,1987.0
15853,1210.0
15905,1142.0
15957,1221.0
16009,2158.0
16061,2030.0
16113,1758.0
16165,1930.0
16217,1244.0
16269,1113.0
16321,1443.0
16373,1698.0
16425,1578.0
16477,1334.0
16529,1440.0
16581,1070.0
16633,966.0
16685,1477.0
16737,1341.0
16789,1227.0
16841,1038.0
16893,1192.0
16945,894.0
16997,814.0
17049,1146.0
17101,1299.0
17153,1162.0
17205,960.0
17257,1234.0
17309,815.0
17361,769.0
17413,1102.0
17465,1224.0
17517,1098.0
17569,1004.0
17621,1021.0
17673,735.0
17725,788.0
17777,1077.0
17829,1127.0
17881,1521.0
17933,1671.0
17985,1928.0
18037,1310.0
18089,1144.0
18141,1915.0
18193,2055.0
18245,1967.0
18297,1683.0
18349,2014.0
18401,1371.0
18453,1271.0
18505,1921.0
18557,2006.0
18609,2148.0
18661,1293.0
18713,1170.0
18765,1593.0
18817,1509.0
18869,2510.0
18921,3103.0
18973,3404.0
19025,1538.0
19077,1279.0
19129,1737.0
19181,1372.0
19233,4069.0
19285,6708.0
19337,1735.0
19389,4176.0
19441,6113.0
19493,1997.0
19545,2025.0
19597,4671.0
19649,4789.0
19701,4389.0
19753,4445.0
19805,5586.0
19857,3056.0
19909,2297.0
19961,5215.0
20013,6378.0
20065,4521.0
20117,3896.0
20169,4665.0
20221,872.0
20273,466.0
20325,0.0
20377,
20429,
20481,
20533,
20585,
20637,
20689,
20741,
20793,
20845,
20897,
20949,
21001,
21053,
21105,
21157,
21209,
21261,
21313,
21365,
21417,
21469,
21521,
21573,
21625,
21677,
21729,
21781,
21833,
21885,
21937,
21989,
22041,
22093,
22145,
22197,
22249,
22301,
22353,
22405,
22457,
22509,
22561,
22613,
22665,
22717,
22769,
22821,
22873,
22925,
22977,
23029,
23081,
23133,
23185,
23237,
23289,
23341,
23393,
23445,
23497,
23549,
23601,
23653,
23705,
23757,
23809,
23861,
23913,
23965,
24017,
24069,
24121,
24173,
24225,
24277,
24329,
24381,
24433,
24485,
24537,
24589,
24641,
24693,
24745,
24797,
24849,
24901,
24953,
25005,
25057,
25109,
25161,
25213,
25265,
25317,
25369,
25421,
25473,
25525,
25577,
25629,
25681,
25733,
25785,
25837,
25889,
25941,
25993,
26045,
26097,
26149,
26201,
26253,
26305,
26357,
26409,
26461,
26513,
26565,
26617,
26669,
26721,
26773,
26825,
26877,
26929,
26981,
27033,
27085,
27137,
27189,
27241,
27293,
27345,
27397,
27449,
27501,
27553,
27605,
27657,
27709,
27761,
27813,
27865,
27917,
27969,
28021,
28073,
28125,
28177,
28229,
28281,
28333,
28385,
